M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
385,10.0,0.0,0.49531656533774554,1.3937553101049462,2.584367971294089,9.99999999999855,200.69687765503062,0.02531645569620253,0.09412512817333388,1.040110581551749,1.3765005126933354,0.13937553101051484,-0.8981332301498143,-0.04382111674128786,1.149128838371781,-0.6212652006342867
535,10.0,0.0,0.49653091405745947,1.28807804155137,2.5595848727999777,9.999999999997936,275.6440390207388,0.01834862385321101,0.06956833332095512,1.0286162361981648,1.2782733332838205,0.12880780415516357,-0.9006649863208614,-0.03403490323229319,1.1084977202732682,-0.6233738618570797
744,10.0,0.0,0.4974526208218784,1.2094997830924001,2.542199465029107,9.999999999997215,380.10474989147474,0.013262599469496022,0.051021664941570545,1.0204535738067522,1.2040866597662823,0.1209499783092737,-0.9023694750188305,-0.025838324251297284,1.0786855843777845,-0.6244120962021229
1033,10.0,0.0,0.4981374912792477,1.1520569832134147,2.5300374497117453,9.999999999996174,524.576028491459,0.009587727708533078,0.03727915596136068,1.0146695824516947,1.1491166238454427,0.11520569832138554,-0.9035257563205389,-0.019337220204120098,1.0570385047145268,-0.6248873053434697
1436,10.0,0.0,0.4986455341843639,1.1099741780493722,2.5214147586972153,9.999999999994706,726.0549870887413,0.006915629322268326,0.02710046448484646,1.0105215405165782,1.108401857939386,0.11099741780499597,-0.9043271729491391,-0.014297175372207094,1.0412310466347952,-0.625084293730436
1995,10.0,0.0,0.49901740807618744,1.0794582250538722,2.5153117106885943,9.999999999992696,1005.5397291119866,0.004987531172069825,0.01965609407470577,1.0075576643924617,1.078624376298823,0.10794582250546607,-0.904885058943392,-0.010494177971932639,1.0297851095377983,-0.6251475600215812
2,10.0,1.0,0.4312792895836841,5.026040586628512,4.99999999999281,9.13744142083211,9.999999999999478,0.8333333333333334,0.9490491157089661,4.333333333327342,4.796196462835864,0.55004900772002,-0.17205669898158105,-0.057089370771873926,4.796196462829041,-0.05708937077356868
3,10.0,1.0,0.41990243876098193,5.0219442816919955,4.99999999999281,8.740292683716532,9.999999999999478,0.7692307692307693,0.9228434583155984,4.076923076917547,4.691373833262394,0.5745739260022781,-0.23496625974561902,-0.08219170263853925,4.691373833255758,-0.08219170264018905
4,10.0,1.0,0.4088723141129065,5.007635682156766,4.99999999999281,8.364510743547852,9.999999999999478,0.7142857142857143,0.8963934682416281,3.8571428571377218,4.5855738729665125,0.5986764600690501,-0.2870752025044079,-0.10531441544684395,4.585573872960067,-0.10531441544845233
5,10.0,1.0,0.3981886198096528,4.984020455808643,4.99999999999281,8.009056900951213,9.999999999999478,0.6666666666666666,0.8698661454691561,3.6666666666618735,4.479464581876624,0.6222980455060453,-0.33065939388591425,-0.12664490042875753,4.479464581870371,-0.12664490043032728
7,10.0,1.0,0.3778494972055885,4.912427614211298,4.99999999999281,7.355053519560359,9.999999999999478,0.5882352941176471,0.8171729368267446,3.352941176466359,4.2686917473069785,0.6678982826089528,-0.39859815733851334,-0.1645361730313033,4.268691747301103,-0.164536173032805
10,10.0,1.0,0.34983197473401717,4.756749611703736,4.99999999999281,6.501680252659306,9.999999999999478,0.5,0.7408329471503503,2.999999999996405,3.9633317886014012,0.7316185088859358,-0.46762488674634384,-0.21119795171616695,3.963331788596075,-0.21119795171758482
