kind,case,kd,M,p,xf,g
meanfield,iteron,100.0,119,0.5694111006899318,132.2400790178981,0.8192463297151549
meanfield,decoy,100.0,133,0.5572883325154651,125.88065177544314,1.2602858861099147
meanfield,iteron,100.0,133,0.5572883325154651,125.88065177544314,0.7932280438345398
meanfield,decoy,100.0,148,0.5443015634031834,119.44336861632885,1.2807959411464247
meanfield,iteron,100.0,148,0.5443015634031834,119.44336861632885,0.7649129086032512
meanfield,decoy,100.0,165,0.5296501902465788,112.6077186093145,1.3011289896507123
meanfield,iteron,100.0,165,0.5296501902465788,112.6077186093145,0.7325858357050455
meanfield,decoy,100.0,185,0.5125978688852779,105.1693942562236,1.3210909282231977
meanfield,iteron,100.0,185,0.5125978688852779,105.1693942562236,0.6946916633931294
meanfield,decoy,100.0,206,0.4950170497910456,98.02648774304458,1.3376014160855425
meanfield,iteron,100.0,206,0.4950170497910456,98.02648774304458,0.6556018440949427
meanfield,decoy,100.0,230,0.4754616340750704,90.64382416273381,1.351302650219287
meanfield,iteron,100.0,230,0.4754616340750704,90.64382416273381,0.6124361990855662
meanfield,decoy,100.0,256,0.4550569614617994,83.50541786577935,1.3606522421156007
meanfield,iteron,100.0,256,0.4550569614617994,83.50541786577935,0.568109170239364
meanfield,decoy,100.0,286,0.43265680142876106,76.26015479137433,1.3655315256007658
meanfield,iteron,100.0,286,0.43265680142876106,76.26015479137433,0.5206782275740798
meanfield,decoy,100.0,319,0.40953547321207157,69.35818404534919,1.365210618267059
meanfield,iteron,100.0,319,0.40953547321207157,69.35818404534919,0.4734426466121581
meanfield,decoy,100.0,356,0.38554521269364656,62.745904281061826,1.3597825500795442
meanfield,iteron,100.0,356,0.38554521269364656,62.745904281061826,0.4266039286517462
meanfield,decoy,100.0,397,0.3612935701662093,56.56645264401487,1.3497245539351541
meanfield,iteron,100.0,397,0.3612935701662093,56.56645264401487,0.3817456503131851
meanfield,decoy,100.0,442,0.3373232307254375,50.903132019356576,1.3359503460447724
meanfield,iteron,100.0,442,0.3373232307254375,50.903132019356576,0.34002028418011077
meanfield,decoy,100.0,493,0.31318525444663625,45.59966955780837,1.3188776150008832
meanfield,iteron,100.0,493,0.31318525444663625,45.59966955780837,0.30070191715615335
meanfield,decoy,100.0,550,0.2895388266938796,40.75364531836624,1.2996127381260576
meanfield,iteron,100.0,550,0.2895388266938796,40.75364531836624,0.2648197829041007
meanfield,decoy,100.0,614,0.2665454423744769,36.341098382071266,1.2789566523760099
meanfield,iteron,100.0,614,0.2665454423744769,36.341098382071266,0.23239344765200537
meanfield,decoy,100.0,685,0.24467998021509815,32.39421355265779,1.2579390143865663
meanfield,iteron,100.0,685,0.24467998021509815,32.39421355265779,0.2037497253412914
meanfield,decoy,100.0,764,0.2239978717792028,28.865625960689158,1.2371164801076862
meanfield,iteron,100.0,764,0.2239978717792028,28.865625960689158,0.178550707922964
meanfield,decoy,100.0,852,0.20455831242201752,25.716317816441233,1.2169238271560523
meanfield,iteron,100.0,852,0.20455831242201752,25.716317816441233,0.15647399948772506
meanfield,decoy,100.0,951,0.18623946035069985,22.886273206484304,1.1975012811241366
meanfield,iteron,100.0,951,0.18623946035069985,22.886273206484304,0.13703170742460988
meanfield,decoy,100.0,1060,0.16943411308691314,20.399840127872153,1.179456651930817
meanfield,iteron,100.0,1060,0.16943411308691314,20.399840127872153,0.12030363568572004
meanfield,decoy,100.0,1183,0.15370868843149574,18.16262158554059,1.1624526736297922
meanfield,iteron,100.0,1183,0.15370868843149574,18.16262158554059,0.10556594011118915
