series,dosage,M_pre,M_post,replication_age,age_bin,age_over_T,mean_xf,mean_xf_over_mean,weight
"M = 141, reservoir only",0,141,282,0.5,28,0.7125,51.439066762191004,0.9832255194315843,1483.825405926659
"M = 141, reservoir only",0,141,282,0.5,29,0.7375,52.35797970013063,1.000789964270661,1437.2301613453844
"M = 141, reservoir only",0,141,282,0.5,30,0.7625,53.23545704803561,1.0175623937778284,1452.444494027407
"M = 141, reservoir only",0,141,282,0.5,31,0.7875,54.06986479565828,1.033511574871391,1410.3033867724694
"M = 141, reservoir only",0,141,282,0.5,32,0.8125,55.06519523260657,1.052536692305945,1403.125613045523
"M = 141, reservoir only",0,141,282,0.5,33,0.8375,55.54062791016656,1.061624289938884,1338.9299798832863
"M = 141, reservoir only",0,141,282,0.5,34,0.8625,56.7118610605234,1.0840116774853767,1321.647190993781
"M = 141, reservoir only",0,141,282,0.5,35,0.8875,57.611556786848126,1.1012087973696787,1213.5992712254215
"M = 141, reservoir only",0,141,282,0.5,36,0.9125,58.38470471633012,1.1159870354368036,1115.5168687435369
"M = 141, reservoir only",0,141,282,0.5,37,0.9375,59.30331139457144,1.1335456263137091,921.9531607337221
"M = 141, reservoir only",0,141,282,0.5,38,0.9625,60.305550320933136,1.1527027951931967,649.823282315938
"M = 141, reservoir only",0,141,282,0.5,39,0.9875,61.19583326488256,1.1697199956422755,259.43207158970927
